Round,,Object 0,,,Object 1,,,Object 2,,,Object 3,,,Object 4,,,Object 5,,,Object 6,,,Object 7,,,Object 8,,,Object 9,
,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y
33,,3.74,47.07,,56.44,86.83,,37.56,38.36,,28.57,92.88,,84.13,66.59,,59.16,25.2,,79.42,3.13,,89.59,31.02,,30.76,79.24,,15.33,13.21
34,,3.6,44.93,,54.78,86.64,,37.09,38.93,,28.76,93.18,,83.82,67.69,,59.04,22.9,,80.11,4.6,,90.06,32.71,,30.44,79.13,,17.74,14.18
35,,3.16,42.82,,53.4,86.65,,36.58,39.54,,28.7,94.21,,83.72,68.91,,58.91,20.48,,80.96,5.76,,90.81,34.42,,29.95,78.61,,19.98,14.86
36,,2.43,40.73,,52.3,86.85,,36.06,40.19,,28.4,95.85,,83.82,70.26,,58.75,17.91,,82.02,6.62,,91.81,36.15,,29.26,77.81,,22.06,15.26
37,,3.16,38.65,,51.47,87.23,,35.55,40.89,,27.9,97.96,,84.11,71.73,,58.57,15.21,,83.29,7.21,,93.04,37.9,,28.35,76.85,,23.98,15.37
38,,3.58,36.57,,50.88,87.78,,35.07,41.64,,27.21,95.89,,84.58,73.33,,58.36,12.35,,84.79,7.57,,94.49,39.66,,27.23,75.82,,25.75,15.17
39,,3.68,34.47,,50.54,88.52,,34.63,42.44,,26.29,94.3,,85.22,75.06,,58.15,9.31,,86.5,7.74,,96.14,41.44,,25.9,74.62,,27.39,14.69
40,,3.45,32.33,,50.43,89.44,,34.23,43.26,,25.16,93.16,,86.03,76.92,,57.97,6.08,,88.42,7.75,,97.99,43.21,,24.38,73.28,,28.92,13.94
41,,2.93,30.13,,50.51,90.56,,33.88,44.09,,23.81,92.44,,86.98,78.9,,57.84,2.65,,90.52,7.62,,96.15,44.98,,22.67,71.82,,30.34,12.97
42,,2.13,27.86,,50.75,91.87,,33.58,44.89,,22.28,92.1,,88.08,81.02,,57.77,-0.98,,92.79,7.37,,94.47,46.74,,20.77,70.28,,31.66,11.8
43,,2.92,25.51,,51.11,93.36,,33.33,45.65,,20.58,92.1,,89.34,83.28,,57.78,2.66,,95.22,7.01,,92.94,48.48,,18.68,68.71,,32.89,10.47
44,,3.45,23.08,,51.55,95.03,,33.14,46.36,,18.73,92.39,,90.73,85.67,,57.94,6.1,,97.82,6.53,,91.54,50.2,,16.38,67.14,,33.99,8.97
45,,3.75,20.55,,52.07,96.87,,33.01,47.03,,16.74,92.95,,92.27,88.21,,58.3,9.4,,95.22,5.94,,90.28,51.91,,13.86,65.61,,34.93,7.29
