Round,,Object 0,,,Object 1,,,Object 2,,,Object 3,,,Object 4,,,Object 5,,,Object 6,,,Object 7,,,Object 8,,,Object 9,,,
,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,
32,,54.01,4.53,,54.27,74.74,,17.04,22.05,,56.71,95.43,,9.1,19.35,,71.34,57.33,,24.61,32.28,,59.4,91.42,,73.74,53.11,,28.97,48.27,,
33,,53.36,4.73,,54.32,74.61,,18.2,21.45,,62.54,104.75,,7.63,20.49,,78.63,62.8,,23.51,33.74,,65.19,100.82,,80.98,58.66,,28.67,48.64,,
34,,52.71,4.92,,54.36,74.49,,19.36,20.82,,68.95,94.61,,6.14,21.62,,86.64,68.84,,22.42,35.2,,71.56,90.4,,88.95,64.76,,28.37,49.03,,
35,,52.06,5.11,,54.4,74.36,,20.53,20.18,,76,103.83,,4.62,22.76,,95.45,75.49,,21.32,36.66,,78.55,99.72,,97.73,71.46,,28.07,49.44,,
36,,51.42,5.3,,54.44,74.24,,21.71,19.52,,83.75,93.8,,3.09,23.89,,105.13,82.82,,20.21,38.13,,86.25,89.39,,88.15,78.82,,27.78,49.86,,
37,,50.78,5.47,,54.47,74.11,,22.88,18.85,,91.44,83.89,,1.54,25.01,,95.4,90.08,,19.09,39.59,,94,79,,78.53,86.18,,27.49,50.3,,
38,,50.15,5.65,,54.49,73.99,,24.07,18.16,,99.08,73.98,,3.09,26.13,,85.74,97.46,,17.97,41.05,,101.8,68.47,,68.87,93.57,,27.22,50.75,,
39,,49.52,5.81,,54.51,73.87,,25.25,17.47,,91.43,64.15,,4.62,27.25,,76.07,104.82,,16.83,42.5,,94,57.89,,59.2,100.98,,26.95,51.22,,
40,,48.9,5.97,,54.53,73.74,,26.43,16.77,,83.76,54.38,,6.14,28.35,,66.41,97.46,,15.67,43.96,,86.23,47.25,,49.53,93.58,,26.69,51.71,,
41,,48.28,6.12,,54.55,73.61,,27.61,16.06,,76.09,44.66,,7.64,29.45,,56.76,90.12,,14.5,45.41,,78.48,36.57,,39.85,86.19,,26.45,52.2,,
42,,47.67,6.26,,54.58,73.47,,28.79,15.34,,68.42,34.96,,9.13,30.54,,47.12,82.8,,13.32,46.87,,70.74,25.84,,30.14,78.81,,26.22,52.71,,
43,,47.06,6.39,,54.64,73.31,,29.97,14.61,,60.74,25.3,,10.6,31.61,,37.48,75.5,,12.11,48.34,,63.02,15.09,,20.43,71.44,,25.99,53.21,,
44,,46.45,6.5,,54.72,73.17,,31.13,13.88,,53.07,15.66,,12.07,32.68,,27.84,68.22,,10.89,49.8,,55.32,4.31,,10.7,64.08,,25.78,53.72,,
45,,45.79,6.58,,54.8,73.04,,32.27,13.15,,45.44,6.07,,13.52,33.72,,18.22,60.96,,9.64,51.25,,47.68,-6.51,,0.95,56.76,,25.58,54.21,,
46,,57.02,16.93,,54.88,72.91,,33.39,12.42,,43.37,-2.99,,14.97,34.75,,8.58,53.76,,8.4,52.68,,40.04,4.31,,10.71,49.45,,25.44,54.69,,
47,,66.05,24.03,,54.98,72.79,,34.49,11.73,,43.55,2.86,,16.42,35.74,,10.19,62.7,,8.63,54.08,,32.38,15.17,,11.78,54.32,,25.32,55.19,,
48,,75.08,31.13,,55.08,72.68,,37.85,13.01,,43.75,8.7,,17.87,36.72,,11.59,70.44,,9.31,59.43,,35.67,16.58,,13.08,59.71,,25.24,55.7,,
49,,84.12,38.23,,55.18,72.57,,41.49,14.48,,44.04,14.46,,19.31,37.69,,12.99,78.23,,10.27,65.35,,39.3,18.12,,14.31,65.66,,25.19,56.2,,
50,,93.17,45.33,,55.3,72.47,,44.84,16.07,,49,15.81,,20.73,38.65,,14.38,86.06,,11.39,71.89,,43.22,19.85,,15.59,72.21,,25.16,56.69,,
51,,102.23,52.44,,55.42,72.37,,49.01,17.82,,53.83,17.34,,22.15,39.61,,15.78,93.91,,12.67,79.08,,47.52,21.75,,16.98,79.41,,25.13,57.18,,
52,,93.17,59.54,,55.55,72.28,,53.67,19.76,,58.99,19.05,,23.56,40.54,,17.17,101.8,,14.11,86.99,,52.27,23.81,,18.48,87.33,,25.09,57.67,,
53,,84.13,66.64,,55.69,72.19,,58.82,21.91,,64.28,20.71,,24.97,41.47,,18.57,93.91,,15.71,95.7,,57.51,26.05,,20.13,96.04,,25.05,58.16,,
54,,75.09,73.75,,55.83,72.1,,64.5,24.31,,69.7,22.33,,26.36,42.39,,20.53,102.78,,17.14,105.51,,63.27,28.51,,22.32,106.17,,25.01,58.67,,
55,,66.07,80.86,,55.96,72.02,,70.76,26.97,,75.24,23.86,,27.75,43.29,,22.8,92.3,,18.83,95.18,,69.62,31.2,,24.68,95.79,,24.95,59.18,,
56,,57.06,87.99,,56.09,71.92,,77.67,29.94,,80.88,25.3,,29.14,44.17,,25.28,101.52,,20.82,104.52,,76.6,34.16,,27.23,105.3,,24.89,59.7,,
57,,48.06,95.14,,56.22,71.82,,85.31,33.24,,86.57,26.61,,30.53,45.04,,28.01,91.09,,22.66,95.19,,84.3,37.43,,29.98,95.07,,24.82,60.22,,
58,,39.09,102.29,,56.37,71.71,,93.78,36.83,,92.25,27.84,,31.92,45.89,,30.97,100.34,,24.4,85.91,,92.77,41.03,,32.95,104.39,,24.74,60.74,,
59,,30.28,95.14,,56.52,71.61,,103.13,40.75,,97.92,29.03,,33.31,46.72,,34.1,89.96,,26.18,76.58,,102.09,44.97,,36.04,94.27,,24.65,61.26,,
60,,21.21,88.13,,56.69,71.5,,92.9,45.03,,92.26,30.2,,34.7,47.54,,37.69,99.14,,27.94,67.24,,91.8,49.3,,39.68,103.46,,24.54,61.76,,
