Round,,Object 2,,,Object 6,,,
,,x,y,,x,y,,
0,,47.7,65.81,,10.6,89.11,,
1,,48.4,65.62,,9.19,88.22,,
2,,49.09,65.43,,7.78,87.34,,
3,,49.78,65.24,,6.36,86.45,,
4,,50.46,65.06,,4.94,85.58,,
5,,51.15,64.88,,3.52,84.7,,
6,,51.83,64.71,,2.09,83.84,,
7,,52.51,64.54,,0.67,82.97,,
8,,53.19,64.37,,-0.76,82.11,,
9,,53.87,64.2,,0.67,81.25,,
10,,54.55,64.04,,2.09,80.4,,
11,,55.22,63.88,,3.52,79.55,,
12,,55.9,63.73,,4.94,78.7,,
13,,56.57,63.57,,6.36,77.86,,
14,,57.24,63.42,,7.78,77.02,,
15,,57.91,63.28,,9.2,76.19,,
16,,58.58,63.13,,10.61,75.36,,
17,,59.25,62.99,,12.02,74.53,,
18,,59.91,62.86,,13.43,73.71,,
19,,60.58,62.72,,14.84,72.89,,
20,,61.24,62.59,,16.24,72.07,,
21,,61.9,62.46,,17.64,71.26,,
22,,62.57,62.33,,19.04,70.45,,
23,,63.23,62.21,,20.44,69.65,,
24,,63.88,62.08,,21.83,68.84,,
25,,64.54,61.96,,23.22,68.04,,
26,,65.2,61.83,,24.61,67.24,,
27,,65.84,61.71,,25.98,66.44,,
28,,66.44,61.6,,27.31,65.65,,
29,,67.09,61.45,,28.68,64.83,,
30,,67.72,61.27,,30.03,63.97,,
31,,68.35,61.09,,31.38,63.11,,
32,,68.99,60.92,,32.72,62.25,,
33,,69.62,60.74,,34.07,61.38,,
34,,70.24,60.56,,35.41,60.5,,
35,,70.87,60.37,,36.74,59.63,,
36,,71.48,60.19,,38.07,58.75,,
37,,72.09,59.99,,39.38,57.87,,
38,,72.69,59.79,,40.69,56.97,,
39,,73.28,59.57,,41.98,56.07,,
40,,73.84,59.33,,43.25,55.14,,
41,,74.4,59.06,,44.51,54.17,,
42,,74.95,58.73,,45.76,53.16,,
43,,75.52,58.37,,47.03,52.11,,
44,,76.12,57.99,,48.31,51.04,,
45,,76.72,57.6,,49.61,49.96,,
46,,77.34,57.21,,50.91,48.88,,
47,,77.96,56.81,,52.22,47.8,,
48,,78.6,56.41,,53.54,46.71,,
49,,79.24,56.01,,54.86,45.62,,
50,,79.88,55.61,,56.18,44.53,,
51,,80.53,55.21,,57.51,43.44,,
52,,81.19,54.81,,58.84,42.35,,
53,,81.84,54.42,,60.17,41.25,,
54,,82.51,54.02,,61.51,40.16,,
55,,83.17,53.62,,62.85,39.06,,
56,,83.84,53.23,,64.19,37.96,,
57,,84.51,52.84,,65.54,36.86,,
58,,85.19,52.45,,66.89,35.77,,
59,,85.86,52.06,,68.23,34.67,,
60,,86.54,51.67,,69.58,33.57,,
61,,87.22,51.28,,70.94,32.47,,
62,,87.91,50.9,,72.29,31.38,,
63,,88.59,50.52,,73.64,30.28,,
64,,89.28,50.14,,74.99,29.19,,
65,,89.97,49.76,,76.35,28.09,,
66,,90.66,49.38,,77.7,27.01,,
67,,91.36,49.01,,79.06,25.93,,
68,,92.05,48.64,,80.42,24.85,,
69,,92.75,48.27,,81.79,23.76,,
70,,93.45,47.9,,83.16,22.68,,
71,,94.16,47.53,,84.54,21.6,,
72,,94.86,47.16,,85.91,20.52,,
73,,95.57,46.8,,87.29,19.43,,
74,,96.28,46.43,,88.67,18.35,,
75,,96.99,46.06,,90.06,17.26,,
76,,97.7,45.7,,91.44,16.17,,
77,,98.41,45.33,,92.83,15.09,,
78,,99.12,44.97,,94.22,13.99,,
79,,99.84,44.6,,95.61,12.9,,
80,,100.56,44.24,,97.01,11.81,,
81,,99.84,43.87,,98.4,10.71,,
82,,99.12,43.51,,99.8,9.61,,
83,,98.41,43.14,,101.2,8.51,,
84,,97.7,42.77,,99.8,7.4,,
85,,96.99,42.39,,98.4,6.29,,
86,,96.27,42.02,,97,5.17,,
87,,95.56,41.64,,95.6,4.05,,
88,,94.85,41.26,,94.2,2.93,,
89,,94.14,40.88,,92.81,1.8,,
90,,93.43,40.49,,91.41,0.67,,
91,,92.73,40.11,,90.02,-0.46,,
92,,92.02,39.72,,88.63,0.67,,
93,,91.32,39.33,,87.24,1.8,,
94,,90.61,38.94,,85.85,2.93,,
95,,89.91,38.56,,84.46,4.06,,
96,,89.2,38.17,,83.07,5.18,,
97,,88.5,37.78,,81.68,6.31,,
98,,87.8,37.39,,80.29,7.43,,
99,,87.1,37,,78.91,8.54,,
