Round,,Object 1,,,Object 5,,,Object 9,,,
76,,8.95,13.49,,56.94,54.66,,94.45,100.34,,
77,,9.62,14.82,,61.63,55.71,,104.03,90.3,,
78,,10.38,16.27,,66.42,56.76,,93.61,99.33,,
79,,11.24,17.87,,71.33,57.81,,103.1,109.26,,
80,,12.2,19.63,,76.35,58.84,,92.78,98.33,,
81,,13.15,21.59,,81.45,59.87,,102.15,108.16,,
82,,14.14,23.77,,86.61,60.88,,91.95,97.33,,
83,,15.26,26.15,,91.86,61.87,,101.21,107.06,,
84,,16.53,28.78,,97.19,62.85,,91.11,96.35,,
85,,17.96,31.66,,102.63,63.83,,100.3,105.98,,
86,,19.55,34.83,,97.19,64.79,,90.29,95.37,,
87,,21.32,38.31,,91.86,65.75,,99.54,104.97,,
88,,23.28,42.15,,86.64,66.7,,109.69,94.41,,
89,,25.45,46.36,,81.53,67.65,,98.65,103.92,,
90,,27.84,51.01,,89.65,74.02,,108.71,93.47,,
91,,30.46,56.12,,98.59,81.06,,97.78,102.88,,
92,,33.35,61.74,,108.42,88.85,,107.73,92.53,,
93,,36.53,67.92,,97.7,97.32,,96.91,101.85,,
94,,40.02,74.72,,107.45,106.73,,106.77,91.6,,
95,,43.86,82.2,,96.85,96.26,,96.05,100.82,,
96,,48.09,90.43,,106.5,105.58,,105.81,90.68,,
97,,52.73,99.48,,96.01,95.22,,95.2,99.81,,
98,,57.84,109.44,,105.56,104.44,,104.86,109.85,,
99,,63.47,98.48,,95.17,94.2,,95.2,99.81,,
