Round,,Object 1,,,Object 5,,,Object 9,,,
,,x,y,,x,y,,x,y,,
0,,27.8,7.8,,75.33,32.92,,87.43,59.91,,
1,,27.59,7.59,,76.66,31.82,,86.86,58.82,,
2,,27.38,7.37,,77.99,30.72,,86.3,57.71,,
3,,27.16,7.15,,79.33,29.61,,85.75,56.6,,
4,,26.95,6.92,,80.67,28.49,,85.2,55.48,,
5,,26.73,6.7,,82.02,27.37,,84.66,54.36,,
6,,26.51,6.46,,83.37,26.24,,84.12,53.22,,
7,,26.28,6.23,,84.72,25.1,,83.59,52.09,,
8,,26.06,5.99,,86.07,23.96,,83.06,50.95,,
9,,25.83,5.75,,87.42,22.81,,82.53,49.8,,
10,,25.61,5.5,,88.77,21.66,,82.01,48.65,,
11,,25.38,5.26,,90.12,20.5,,81.5,47.5,,
12,,25.14,5.01,,91.48,19.33,,80.99,46.35,,
13,,24.91,4.75,,92.83,18.16,,80.48,45.19,,
14,,24.67,4.5,,94.19,16.98,,79.98,44.03,,
15,,24.44,4.24,,95.55,15.8,,79.5,42.87,,
16,,24.2,3.98,,96.9,14.62,,79.02,41.71,,
17,,23.95,3.72,,98.26,13.43,,78.55,40.55,,
18,,23.71,3.45,,99.61,12.23,,78.09,39.39,,
19,,23.46,3.19,,100.97,11.03,,77.65,38.25,,
20,,23.21,2.92,,99.61,9.83,,77.23,37.12,,
21,,22.95,2.64,,98.26,8.62,,76.84,36,,
22,,22.69,2.37,,96.9,7.41,,84.24,39.31,,
23,,22.43,2.09,,95.54,6.19,,92.41,42.98,,
24,,22.16,1.81,,94.17,4.97,,101.42,47.04,,
25,,21.88,1.52,,92.8,3.74,,91.53,51.54,,
26,,21.6,1.23,,91.43,2.5,,81.61,56,,
27,,21.31,0.94,,90.04,1.26,,71.68,60.45,,
28,,21.01,0.64,,88.65,0.02,,61.77,64.88,,
29,,20.7,0.34,,87.24,-1.24,,51.8,69.34,,
30,,20.37,0.02,,85.82,0.02,,41.81,73.79,,
31,,20.01,-0.3,,84.38,1.26,,31.8,78.23,,
32,,19.63,0.02,,82.91,2.49,,21.76,82.67,,
33,,19.2,0.34,,81.39,3.71,,11.67,87.09,,
34,,21.47,0.37,,79.81,4.93,,1.5,91.52,,
35,,23.92,0.41,,78.15,6.15,,-8.75,95.95,,
36,,26.58,0.45,,76.41,7.37,,1.5,100.37,,
37,,29.49,0.5,,74.59,8.58,,1.3,90.35,,
38,,32.66,0.55,,72.68,9.79,,1.73,98.98,,
39,,36.14,0.6,,70.67,11,,2.14,108.49,,
40,,39.96,0.66,,68.57,12.21,,2.53,97.98,,
41,,44.15,0.72,,66.38,13.42,,2.94,107.41,,
42,,48.75,0.79,,64.08,14.62,,3.37,97,,
43,,53.81,0.86,,61.69,15.83,,3.82,106.33,,
44,,59.37,0.93,,59.2,17.04,,4.23,96.03,,
45,,65.49,1.02,,56.61,18.25,,4.68,105.28,,
46,,72.22,1.11,,53.91,19.47,,5.17,95.08,,
47,,79.61,1.21,,51.1,20.68,,5.7,104.22,,
48,,87.74,1.33,,48.19,21.88,,6.28,94.13,,
49,,96.68,1.46,,45.17,23.09,,6.92,103.18,,
50,,106.52,1.6,,42.04,24.29,,7.62,93.18,,
51,,95.6,1.76,,38.8,25.49,,8.39,102.5,,
52,,105.36,1.93,,35.48,26.69,,9.24,92.5,,
53,,94.53,2.12,,32.05,27.89,,10.18,101.73,,
54,,104.22,2.32,,28.55,29.09,,11.22,91.73,,
55,,93.49,2.55,,24.95,30.29,,12.37,100.87,,
56,,103.11,2.8,,21.28,31.49,,13.62,90.87,,
57,,92.47,3.08,,17.52,32.68,,15.02,99.91,,
58,,102,3.38,,13.7,33.87,,16.53,109.91,,
59,,91.47,3.72,,9.8,35.06,,18.18,98.91,,
60,,100.92,4.08,,5.83,36.25,,20.01,108.81,,
61,,90.48,4.49,,1.78,37.43,,22.01,97.92,,
62,,99.85,4.93,,-2.32,38.62,,24.23,107.72,,
63,,110.12,5.42,,1.79,39.8,,26.66,96.94,,
64,,99.81,5.91,,5.94,40.98,,29.45,106.64,,
65,,89.5,6.4,,10.1,42.16,,32.5,95.97,,
66,,79.21,6.88,,14.26,43.33,,35.85,105.57,,
67,,68.91,7.36,,18.43,44.5,,39.52,95.01,,
68,,58.62,7.84,,22.6,45.66,,43.55,104.51,,
69,,48.34,8.31,,26.77,46.82,,47.97,94.06,,
70,,38.05,8.78,,30.94,47.97,,52.83,103.47,,
71,,27.78,9.26,,35.12,49.12,,58.17,93.12,,
72,,17.51,9.72,,39.31,50.26,,64.04,102.43,,
73,,7.25,10.19,,43.51,51.4,,70.51,92.18,,
74,,7.77,11.19,,47.88,52.5,,77.77,101.37,,
75,,8.36,12.28,,52.37,53.59,,85.73,91.23,,
